game_id,season,team,point_diff,wins,turnover_diff,off_pass_epa,off_rush_epa,def_pass_epa,def_rush_epa,home,dome,temp,wind
2002_05_CIN_IND,2002,IND,7,1,2,0.094304863,-0.002956911,-0.091750084,0.369742082,1,1,70,0
2002_05_GB_CHI,2002,CHI,-13,0,-2,-0.18849726,-0.214294494,0.435777318,-0.185950227,1,0,46,5
2002_05_GB_CHI,2002,GB,13,1,2,0.435777318,-0.185950227,-0.18849726,-0.214294494,0,0,46,5
2002_05_KC_NYJ,2002,KC,4,1,0,0.305985712,0.246924511,0.222830484,0.093674948,0,0,66,10
2002_05_KC_NYJ,2002,NYJ,-4,0,0,0.222830484,0.093674948,0.305985712,0.246924511,1,0,66,10
2002_05_NE_MIA,2002,MIA,13,1,2,0.408731495,-0.204631476,0.037278722,-0.456471749,1,0,87,10
2002_05_NE_MIA,2002,NE,-13,0,-2,0.037278722,-0.456471749,0.408731495,-0.204631476,0,0,87,10
2002_05_NYG_DAL,2002,DAL,-4,0,2,0.105370281,-0.267815064,0.485133533,-0.220734839,1,0,84,0
2002_05_NYG_DAL,2002,NYG,4,1,-2,0.485133533,-0.220734839,0.105370281,-0.267815064,0,0,84,0
2002_05_OAK_BUF,2002,BUF,-18,0,-3,0.058585369,-0.07417919,0.517015278,0.407209867,1,0,64,14
2002_05_OAK_BUF,2002,LV,18,1,3,0.517015278,0.407209867,0.058585369,-0.07417919,0,0,64,14
2002_05_PHI_JAX,2002,JAX,3,1,0,0.281259507,-0.260063395,0.073172474,0.282053542,1,0,87,10
2002_05_PHI_JAX,2002,PHI,-3,0,0,0.073172474,0.282053542,0.281259507,-0.260063395,0,0,87,10
2002_05_PIT_NO,2002,NO,3,1,2,0.249972227,0.030810884,0.186160566,0.10801781,1,1,70,0
2002_05_PIT_NO,2002,PIT,-3,0,-2,0.186160566,0.10801781,0.249972227,0.030810884,0,1,70,0
2002_05_SD_DEN,2002,DEN,17,1,2,0.23639527,-0.116810099,-0.248523082,0.028750379,1,0,57,9
2002_05_SD_DEN,2002,LAC,-17,0,-2,-0.248523082,0.028750379,0.23639527,-0.116810099,0,0,57,9
2002_05_STL_SF,2002,SF,24,1,2,0.341982685,0.26579603,-0.13975821,0.008308808,1,0,72,5
2002_05_STL_SF,2002,LA,-24,0,-2,-0.13975821,0.008308808,0.341982685,0.26579603,0,0,72,5
2002_05_TB_ATL,2002,ATL,-14,0,-2,-0.496050868,-0.117208616,0.084360567,-0.157185334,1,1,70,0
2002_05_TB_ATL,2002,TB,14,1,2,0.084360567,-0.157185334,-0.496050868,-0.117208616,0,1,70,0
2002_05_WAS_TEN,2002,TEN,-17,0,-4,-0.09302056,-0.147605296,0.470992078,0.144549306,1,0,74,6
2002_05_WAS_TEN,2002,WAS,17,1,4,0.470992078,0.144549306,-0.09302056,-0.147605296,0,0,74,6
2002_06_ATL_NYG,2002,ATL,7,1,2,0.570651653,-0.202174501,0.098764816,-0.01511204,0,0,60,5
2002_06_ATL_NYG,2002,NYG,-7,0,-2,0.098764816,-0.01511204,0.570651653,-0.202174501,1,0,60,5
2002_06_BAL_IND,2002,BAL,-2,0,-1,-0.331410503,0.139449382,-0.036404027,-0.303682936,0,1,70,0
2002_06_BAL_IND,2002,IND,2,1,1,-0.036404027,-0.303682936,-0.331410503,0.139449382,1,1,70,0
2002_06_BUF_HOU,2002,BUF,7,1,-1,0.227845588,0.071519856,0.162304802,-0.098890413,0,1,70,0
2002_06_BUF_HOU,2002,HOU,-7,0,1,0.162304802,-0.098890413,0.227845588,0.071519856,1,1,70,0
2002_06_CAR_DAL,2002,CAR,-1,0,2,0.082867826,-0.239867216,-0.193760218,-0.067495006,0,0,56,13
2002_06_CAR_DAL,2002,DAL,1,1,-2,-0.193760218,-0.067495006,0.082867826,-0.239867216,1,0,56,13
2002_06_CLE_TB,2002,CLE,-14,0,0,-0.315549979,-0.149208605,-0.122219079,0.048279013,0,0,85,6
2002_06_CLE_TB,2002,TB,14,1,0,-0.122219079,0.048279013,-0.315549979,-0.149208605,1,0,85,6
2002_06_DET_MIN,2002,DET,-7,0,0,0.233943862,-0.533901929,0.117834471,0.07478791,0,1,70,0
2002_06_DET_MIN,2002,MIN,7,1,0,0.117834471,0.07478791,0.233943862,-0.533901929,1,1,70,0
2002_06_GB_NE,2002,GB,18,1,4,0.407424568,0.051625865,-0.224962163,-0.036805414,0,0,61,10
2002_06_GB_NE,2002,NE,-18,0,-4,-0.224962163,-0.036805414,0.407424568,0.051625865,1,0,61,10
2002_06_JAX_TEN,2002,JAX,-9,0,0,-0.071529311,0.023002369,0.038461772,0.117853736,0,0,65,15
2002_06_JAX_TEN,2002,TEN,9,1,0,0.038461772,0.117853736,-0.071529311,0.023002369,1,0,65,15
2002_06_KC_SD,2002,KC,-1,0,2,0.332242327,-0.141173818,0.049424164,0.342273782,0,0,67,7
2002_06_KC_SD,2002,LAC,1,1,-2,0.049424164,0.342273782,0.332242327,-0.141173818,1,0,67,7
2002_06_MIA_DEN,2002,DEN,-2,0,-1,-0.111870544,-0.267561171,-0.040772924,-0.105808244,1,0,58,3
2002_06_MIA_DEN,2002,MIA,2,1,1,-0.040772924,-0.105808244,-0.111870544,-0.267561171,0,0,58,3
2002_06_NO_WAS,2002,NO,16,1,4,-0.073879413,-0.061685191,-0.164863446,-0.354629071,0,0,65,4
2002_06_NO_WAS,2002,WAS,-16,0,-4,-0.164863446,-0.354629071,-0.073879413,-0.061685191,1,0,65,4
2002_06_OAK_STL,2002,LV,-15,0,-2,-0.06264403,-0.149650946,0.278336439,-0.137570396,0,1,70,0
2002_06_OAK_STL,2002,LA,15,1,2,0.278336439,-0.137570396,-0.06264403,-0.149650946,1,1,70,0
2002_06_PIT_CIN,2002,CIN,-27,0,-2,-0.353801199,-0.094502106,0.139170714,0.192119967,1,0,54,15
2002_06_PIT_CIN,2002,PIT,27,1,2,0.139170714,0.192119967,-0.353801199,-0.094502106,0,0,54,15
2002_06_SF_SEA,2002,SEA,-7,0,-2,0.186286616,-0.062366372,0.45994738,0.058360111,1,0,64,6
2002_06_SF_SEA,2002,SF,7,1,2,0.45994738,0.058360111,0.186286616,-0.062366372,0,0,64,6
2002_07_BUF_MIA,2002,BUF,13,1,6,-0.017910739,-0.120667112,-0.424945409,-0.335238057,0,0,85,9
2002_07_BUF_MIA,2002,MIA,-13,0,-6,-0.424945409,-0.335238057,-0.017910739,-0.120667112,1,0,85,9
2002_07_CAR_ATL,2002,ATL,30,1,1,0.55955065,-0.153685762,-0.339823159,-0.040775756,1,1,70,0
2002_07_CAR_ATL,2002,CAR,-30,0,-1,-0.339823159,-0.040775756,0.55955065,-0.153685762,0,1,70,0
2002_07_CHI_DET,2002,CHI,-3,0,-2,-0.015692466,-0.352845196,-0.221221861,0.063770402,0,1,70,0
2002_07_CHI_DET,2002,DET,3,1,2,-0.221221861,0.063770402,-0.015692466,-0.352845196,1,1,70,0
2002_07_DAL_ARI,2002,ARI,3,1,3,0.005910431,-0.260526411,-0.117983522,-0.04816202,1,0,81,5
2002_07_DAL_ARI,2002,DAL,-3,0,-3,-0.117983522,-0.04816202,0.005910431,-0.260526411,0,0,81,5
2002_07_DEN_KC,2002,DEN,3,1,-1,0.197526914,0.261378058,-0.269948831,0.343646795,0,0,51,3
2002_07_DEN_KC,2002,KC,-3,0,1,-0.269948831,0.343646795,0.197526914,0.261378058,1,0,51,3
2002_07_HOU_CLE,2002,CLE,17,1,1,-0.021077848,-0.042348237,0.126909834,-0.22224577,1,0,50,6
2002_07_HOU_CLE,2002,HOU,-17,0,-1,0.126909834,-0.22224577,-0.021077848,-0.042348237,0,0,50,6
2002_07_IND_PIT,2002,IND,-18,0,-2,-0.035027355,-0.074121191,0.248237582,0.135356405,0,0,48,3
2002_07_IND_PIT,2002,PIT,18,1,2,0.248237582,0.135356405,-0.035027355,-0.074121191,1,0,48,3
2002_07_JAX_BAL,2002,BAL,7,1,1,0.052621406,-0.295013337,-0.239041983,0.084530158,1,0,56,5
2002_07_JAX_BAL,2002,JAX,-7,0,-1,-0.239041983,0.084530158,0.052621406,-0.295013337,0,0,56,5
2002_07_MIN_NYJ,2002,MIN,-13,0,-4,0.128916386,-0.138764488,0.663961908,-0.225778053,0,0,57,10
2002_07_MIN_NYJ,2002,NYJ,13,1,4,0.663961908,-0.225778053,0.128916386,-0.138764488,1,0,57,10
2002_07_SD_OAK,2002,LV,-6,0,-1,0.281976907,-0.185317357,0.492498362,0.030530381,1,0,62,9
2002_07_SD_OAK,2002,LAC,6,1,1,0.492498362,0.030530381,0.281976907,-0.185317357,0,0,62,9
2002_07_SEA_STL,2002,SEA,-17,0,-1,-0.213699423,-0.338181498,0.119538402,0.03323786,0,1,70,0
2002_07_SEA_STL,2002,LA,17,1,1,0.119538402,0.03323786,-0.213699423,-0.338181498,1,1,70,0
2002_07_SF_NO,2002,NO,8,1,1,0.323671789,0.104864463,0.302085088,0.048115354,1,1,70,0
2002_07_SF_NO,2002,SF,-8,0,-1,0.302085088,0.048115354,0.323671789,0.104864463,0,1,70,0
2002_07_TB_PHI,2002,PHI,10,1,0,-0.407663009,0.061527593,-0.267787216,-0.054919718,1,0,57,7
2002_07_TB_PHI,2002,TB,-10,0,0,-0.267787216,-0.054919718,-0.407663009,0.061527593,0,0,57,7
2002_07_WAS_GB,2002,GB,21,1,3,0.039335796,-0.007981697,-0.360150822,-0.084625933,1,0,44,15
2002_07_WAS_GB,2002,WAS,-21,0,-3,-0.360150822,-0.084625933,0.039335796,-0.007981697,0,0,44,15
2002_08_ARI_SF,2002,ARI,-10,0,-4,0.00319862,0.339620733,0.728978638,-0.115482378,0,0,62,5
